Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,156.972,-74.168,180.0,top
C10,2.2uF,C_0402_1005Metric,141.224,-64.772,90.0,top
C11,100nF,C_0402_1005Metric,156.996,-79.222,0.0,top
C12,2.2uF,C_0402_1005Metric,136.196,-79.73,180.0,top
C13,100nF,C_0402_1005Metric,136.196,-81.0,180.0,top
C14,100nF,C_0402_1005Metric,153.694,-83.258,-90.0,top
C15,100nF,C_0402_1005Metric,160.274,-61.976,-90.0,top
C16,100nF,C_0402_1005Metric,159.004,-61.976,-90.0,top
C17,100nF,C_0402_1005Metric,159.032,-81.534,0.0,top
C18,10nF,C_0402_1005Metric,133.378,-65.024,180.0,top
C19,100nF,C_0402_1005Metric,133.378,-66.294,0.0,top
C2,20pF,C_0402_1005Metric,160.707,-77.825,180.0,top
C20,2.2uF,C_0402_1005Metric,133.378,-67.564,0.0,top
C22,10uF,C_0402_1005Metric,113.578365,-65.538544,0.0,top
C23,100nF,C_0402_1005Metric,113.578365,-66.808544,0.0,top
C24,10uF,C_0402_1005Metric,113.606365,-62.998544,0.0,top
C25,100nF,C_0402_1005Metric,113.606365,-64.268544,0.0,top
C26,100nF,C_0402_1005Metric,178.844,-75.438,180.0,top
C27,100nF,C_0402_1005Metric,172.212,-78.994,0.0,top
C28,100nF,C_0402_1005Metric,159.032,-82.804,0.0,top
C3,20pF,C_0402_1005Metric,160.707,-72.364,0.0,top
C4,4.7uF,C_0402_1005Metric,156.996,-77.952,0.0,top
C5,1uF,C_0402_1005Metric,157.988,-69.85,0.0,top
C6,100nF,C_0402_1005Metric,139.954,-64.772,90.0,top
C7,100nF,C_0402_1005Metric,156.944,-71.12,0.0,top
C8,100nF,C_0402_1005Metric,153.694,-66.776,-90.0,top
C9,100nF,C_0402_1005Metric,156.996,-76.682,0.0,top
CARD1,~,TF-SMD_TF-PUSH,173.736,-86.6785,0.0,top
D1,green_led,LED_0603_1608Metric,106.3965,-85.344,0.0,top
R1,10k,R_0402_1005Metric,159.766,-85.852,-90.0,top
R11,2.2k,R_0402_1005Metric,119.888,-57.912,-90.0,top
R12,2.2k,R_0402_1005Metric,118.618,-57.912,-90.0,top
R13,2.2k,R_0402_1005Metric,117.348,-57.912,-90.0,top
R14,2.2k,R_0402_1005Metric,116.078,-57.912,-90.0,top
R2,100,R_0402_1005Metric,109.218,-85.344,0.0,top
R3,5.1k,R_0402_1005Metric,112.2845,-80.518,-90.0,top
R4,5.1k,R_0402_1005Metric,113.5545,-80.516,-90.0,top
R5,10k,R_0402_1005Metric,178.816,-77.978,180.0,top
R6,10k,R_0402_1005Metric,178.816,-76.708,0.0,top
R7,2.2k,R_0402_1005Metric,114.808,-57.914,-90.0,top
R8,2.2k,R_0402_1005Metric,113.538,-57.914,-90.0,top
SW1,~,SW-SMD_L3.9-W3.0-P4.45,162.306,-86.868,-90.0,top
U1,~,QFP-100_L14.0-W14.0-P0.50-LS16.0-BL,146.582,-74.904,90.0,top
U2,~,LGA-16_L4.5-W3.0-P0.50-BL,155.216,-63.57,-90.0,top
U3,~,LGA-14_L3.0-W2.5-P0.50-TL,136.406,-65.7895,180.0,top
U5,~,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,108.046365,-65.030544,0.0,top
U6,~,SENSORM-SMD_BMP388,156.611,-82.296,0.0,top
USB1,~,USB-C-SMD_TYPE-C-6PIN-2MD-073,107.61,-75.177,-90.0,top
X1,25MHz,OSC-SMD_4P-L3.2-W2.5-BL,160.792,-75.074,-90.0,top
